Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
13.2870,0.0000,47.9600,24.6200,240.0632,0.2000,34.1983,35.6216,47.8748,37.6180,49.9804,49.6055,52.4174,72.6381,68.3795,67.6646,67.8697,58.8007,61.9316,71.2524
13.5960,0.0000,47.9600,24.6200,240.0826,0.2000,30.6431,30.4236,45.0994,38.0062,52.1043,50.8369,52.7077,78.2372,68.9939,63.2123,66.2834,60.0479,63.3297,73.6785
13.9050,0.0000,47.9600,24.6200,240.1021,0.1990,27.7237,25.6208,43.7254,38.1853,54.0448,49.6055,50.5778,66.6625,66.7926,70.3356,72.8909,58.0204,60.6701,71.2524
14.2150,0.0000,47.9600,24.6200,240.1216,0.2009,24.7139,21.0687,38.4522,36.8645,49.1574,48.1206,50.5778,73.2341,67.8757,62.3092,65.2954,57.2603,63.7528,74.2528
14.5220,0.0000,47.9600,24.6200,240.1759,0.2000,21.3459,17.0999,36.4816,37.4095,52.3895,48.4314,49.9924,67.1654,66.7926,69.8255,72.3453,57.2603,58.9429,71.2524
14.8320,0.0000,47.9600,24.6200,240.2314,0.2000,18.5028,13.6683,32.1869,36.8645,48.0682,47.3106,52.0732,73.2341,64.1837,62.7987,64.8558,59.6018,61.5319,74.2528
15.1400,0.0000,47.9600,24.6200,240.2865,0.2000,15.9832,10.8640,28.4918,35.7879,50.8849,49.6055,50.2568,64.5356,65.7431,63.7159,72.3453,58.4435,57.7974,71.7899
15.4490,0.0000,47.9600,24.6200,240.1849,0.2000,13.4597,8.6720,25.4664,35.7879,48.0682,46.2396,49.1134,71.9353,65.1843,64.1416,65.8307,56.5195,57.0349,70.0976
15.7590,0.0000,47.9600,24.6200,240.0272,0.2000,11.3338,6.8465,22.3041,35.2570,48.6068,46.2396,49.6787,66.0689,63.2129,62.3092,71.7010,56.9212,58.9429,73.0008
16.0670,0.0000,47.9600,24.6200,239.8704,0.2000,9.4290,5.4918,19.8785,36.1399,49.9804,46.7691,48.5606,65.0072,64.7257,66.0832,70.0370,56.1889,56.2919,69.4831
16.3770,0.0000,47.8804,24.6200,239.7957,0.2000,7.8937,4.4759,16.7838,34.7712,49.4117,45.9557,48.3134,63.5216,61.3556,60.1967,63.9090,58.0204,58.1506,72.4454
16.6860,0.0000,47.7229,24.6200,239.8032,0.2000,6.5966,3.7101,14.5711,35.1038,47.2584,44.4533,48.3134,63.9786,59.6029,62.3092,69.4325,56.5195,56.2919,72.4454
16.9950,0.0000,47.5653,24.6200,239.8106,0.2000,5.5334,3.1327,12.4941,34.4447,47.2584,43.5042,48.3134,64.5356,59.6029,58.1498,63.9090,56.1889,57.3790,71.7899
17.3030,0.0000,47.4500,24.6200,239.8128,0.1996,4.6818,2.6844,10.7845,33.3338,46.5203,42.5939,46.2395,61.0769,58.7630,61.9071,68.3506,56.9212,57.0349,71.2524
17.6120,0.0000,47.4500,24.6200,239.8008,0.2000,3.9820,2.3400,9.3139,34.2691,48.3116,41.5264,46.2395,66.0689,56.3775,60.5772,68.9366,54.7785,55.5677,67.8952
17.9220,0.0000,47.4500,24.6200,239.7887,0.2000,3.4252,2.0679,7.9612,31.8810,45.5416,39.8947,41.7456,57.5888,57.1512,60.1967,62.0947,54.4059,57.7974,71.7899
18.2300,0.0000,47.4500,24.6200,239.7752,0.1998,2.9753,1.8536,6.9211,31.6051,45.2816,38.9201,45.7480,60.6597,54.8903,59.3023,68.9366,55.7972,55.1804,70.0976
18.5380,0.0000,47.4500,24.6200,239.7146,0.1993,2.5854,1.6777,6.0323,31.7550,47.5412,37.6695,43.4365,62.0148,59.2182,59.7462,66.2834,54.0991,54.8616,67.3181
18.8470,0.0000,47.4500,24.6200,239.6537,0.2000,2.2879,1.5377,5.2443,30.2927,44.1468,36.1388,42.3453,67.7787,53.4783,59.7462,62.0947,54.0991,55.5677,70.6179
19.1550,0.0000,47.4500,24.6200,239.5930,0.2000,2.0328,1.4188,4.6076,30.0429,44.1468,29.2848,41.9312,58.8889,53.4783,55.9066,61.2250,55.4749,54.1730,66.8445
19.4640,0.0000,47.4500,24.6200,239.6988,0.2000,1.8270,1.3217,4.0864,29.4463,45.2816,33.8751,40.3509,58.0412,54.4980,60.1967,65.2954,54.4059,53.1414,67.3181
19.7730,0.0000,47.4500,24.6200,239.8499,0.1991,1.6582,1.2387,3.6327,28.7477,42.4121,31.4852,40.9475,68.9323,52.1360,55.5168,60.7607,55.7972,55.1804,69.4831
20.0810,0.0000,47.4500,24.6200,240.0005,0.1992,1.5132,1.1671,3.2692,28.5219,43.9021,30.5253,38.1873,55.9880,52.7987,60.1967,66.2834,53.0811,53.1414,67.3181
20.3900,0.0000,47.4500,24.6200,240.0741,0.2000,1.3926,1.1063,2.9505,27.1253,40.5960,28.4490,37.3660,63.5216,50.8583,55.9066,59.9272,53.0811,54.8616,70.0976
20.6990,0.0000,47.4500,24.6200,240.0833,0.2000,1.2901,1.0535,2.6772,26.5286,40.4227,27.0926,37.1882,56.4158,51.1432,55.5168,66.8349,53.4361,53.8044,67.3181
21.0070,0.0000,47.4500,24.6200,240.0926,0.2000,1.2002,1.0072,2.4592,25.6881,40.5960,25.7793,35.0441,54.4724,53.4783,60.5772,64.8558,52.7888,51.8624,65.8253
21.3160,0.0000,47.4500,24.6200,240.0464,0.1991,1.1236,0.9668,2.2587,25.3273,40.0465,23.8267,33.9237,57.2171,52.1360,54.8161,64.8558,52.4422,51.5801,65.8253
21.6250,0.0000,47.4500,24.6200,239.8752,0.2001,1.0586,0.9301,2.0876,23.8901,36.3183,22.5339,33.0106,58.8889,50.8583,58.1498,59.9272,54.4059,53.5010,68.3837
21.9320,0.0000,47.4500,24.6200,239.7051,0.2000,1.0010,0.8986,1.9451,23.2018,34.8387,21.0134,31.7706,55.6363,48.7382,54.5033,64.8558,53.7355,22.3557,15.4479
22.2410,0.0000,47.4500,24.6200,239.5480,0.2006,0.1057,0.1988,0.1666,0.4324,0.4572,0.3191,0.3227,0.5899,0.2543,0.3622,0.1929,0.1827,0.1596,0.1460
22.5500,0.0000,47.4500,24.6200,239.5940,0.8760,0.0652,0.1574,0.1169,0.1361,0.1566,0.1595,0.1521,0.1332,0.1098,0.1409,0.1238,0.1282,0.1165,0.1163
22.8590,0.0000,47.4500,24.6200,239.6401,0.8916,0.0702,0.1498,0.1114,0.1124,0.1264,0.1394,0.1316,0.1161,0.1030,0.1270,0.1170,0.1214,0.1121,0.1128
23.1700,0.0000,47.4500,24.6200,239.6864,0.8960,0.0752,0.1456,0.1112,0.1070,0.1199,0.1332,0.1276,0.1134,0.1015,0.1248,0.1155,0.1197,0.1114,0.1122
23.4780,0.0000,47.4500,24.6200,239.7027,0.8980,0.0792,0.1442,0.1133,0.1057,0.1191,0.1312,0.1276,0.1129,0.1012,0.1242,0.1146,0.1189,0.1113,0.1120
23.7870,0.0000,47.4500,24.6200,239.7132,0.8980,0.0822,0.1442,0.1160,0.1058,0.1196,0.1305,0.1285,0.1126,0.1010,0.1242,0.1142,0.1185,0.1113,0.1119
24.0960,0.0000,47.4500,24.6200,239.7237,0.8980,0.0847,0.1452,0.1186,0.1065,0.1210,0.1309,0.1301,0.1125,0.1008,0.1239,0.1139,0.1182,0.1113,0.1116
24.4070,0.0000,47.4500,24.6200,239.7291,0.8990,0.0869,0.1465,0.1210,0.1075,0.1225,0.1313,0.1317,0.1124,0.1008,0.1239,0.1135,0.1181,0.1113,0.1115
24.7150,0.0000,47.4500,24.6200,239.7309,0.8981,0.0887,0.1478,0.1232,0.1082,0.1239,0.1320,0.1331,0.1123,0.1007,0.1238,0.1134,0.1180,0.1111,0.1115
25.0240,0.0000,47.4500,24.6200,239.7328,0.8990,0.0902,0.1492,0.1252,0.1091,0.1254,0.1326,0.1345,0.1123,0.1005,0.1238,0.1131,0.1177,0.1111,0.1114
25.3330,0.0000,47.4500,24.6200,239.7918,0.8990,0.0917,0.1505,0.1270,0.1098,0.1265,0.1333,0.1356,0.1124,0.1004,0.1238,0.1129,0.1175,0.1113,0.1114
25.6410,0.0000,47.4500,24.6200,239.9509,0.8984,0.0931,0.1518,0.1285,0.1106,0.1278,0.1339,0.1368,0.1123,0.1004,0.1237,0.1125,0.1174,0.1111,0.1112
25.9500,0.0000,47.4500,24.6200,240.1105,0.8990,0.0942,0.1528,0.1299,0.1113,0.1286,0.1345,0.1378,0.1123,0.1004,0.1235,0.1125,0.1174,0.1111,0.1111
26.2580,0.0000,47.4689,24.6200,240.2387,0.8993,0.0951,0.1539,0.1312,0.1120,0.1297,0.1351,0.1386,0.1123,0.1003,0.1235,0.1124,0.1173,0.1111,0.1111
26.5670,0.0000,47.6265,24.6200,240.1399,0.8981,0.0960,0.1549,0.1321,0.1124,0.1306,0.1355,0.1395,0.1121,0.1001,0.1234,0.1121,0.1170,0.1110,0.1110
26.8770,0.0000,47.7846,24.6200,240.0409,0.8991,0.0969,0.1556,0.1332,0.1130,0.1314,0.1359,0.1400,0.1121,0.1001,0.1232,0.1120,0.1170,0.1110,0.1110
27.1860,0.0000,47.9421,24.6200,239.9422,0.8987,0.0786,0.2151,0.3293,0.2638,0.4336,0.5014,0.7641,0.1829,0.1961,0.3304,0.5812,1.1582,1.8420,2.2326
27.4940,0.0000,47.9600,24.6200,239.9769,0.2145,1.0586,2.8357,4.4063,3.3935,4.8897,5.6154,7.4334,10.2137,9.4436,11.8040,19.0514,23.9049,26.1833,32.6765
27.8030,0.0000,47.9600,24.6200,240.0288,0.2090,7.3907,16.7834,24.6311,17.5580,24.9590,26.7277,32.8708,55.2200,45.2932,52.8143,56.4058,60.8831,59.8318,70.0976
28.1110,0.0000,47.9600,24.6200,240.0805,0.2052,26.8408,47.3535,62.7987,40.0709,63.4677,60.5782,66.9625,74.5800,65.7431,78.5920,76.7065,74.2698,66.2291,52.8174
28.4210,0.0000,47.9600,24.6200,240.0068,0.2030,53.7895,72.5638,80.0247,52.5578,77.5210,82.2501,87.8609,82.1159,70.1491,73.8965,74.1205,81.1007,73.4487,77.6394
28.7300,0.0000,47.9600,24.6200,239.8644,0.2028,71.9176,84.2780,88.8467,54.8767,88.3945,94.4732,89.6542,72.6381,69.5143,76.4748,80.9377,80.4289,69.4023,74.2528
29.0390,0.0000,47.9600,24.6200,239.7219,0.2010,77.6770,91.2262,88.0388,56.5378,84.1087,83.9107,89.6542,79.7728,71.3431,70.9577,72.3453,72.4910,69.4023,78.2765
29.3480,0.0000,47.9600,24.6200,239.6953,0.2010,86.8347,86.8347,85.3974,56.1517,86.6603,91.2741,79.8631,74.5800,70.6869,73.8965,80.9377,73.7047,66.6914,74.9537
29.6570,0.0000,47.9600,24.6200,239.8346,0.2010,75.0345,86.8347,83.0507,54.8767,83.3863,78.4368,80.5302,75.9758,70.1491,71.4844,78.8302,69.0754,67.2546,73.6785
29.9660,0.0000,47.9600,24.6200,239.9740,0.2000,71.9176,75.6194,74.5825,49.3902,72.9643,71.6582,76.3203,77.4240,70.1491,71.4844,70.5488,65.9633,71.0511,79.0547
30.2730,0.0000,47.9600,24.6200,240.0799,0.2000,64.1020,70.7619,70.3356,49.7504,72.4181,71.6582,69.6844,74.5800,67.8757,69.8255,78.8302,66.4169,65.6827,73.6785
30.5830,0.0000,47.9600,24.6200,240.0256,0.2000,58.0787,66.0296,65.6318,45.4878,67.9380,61.4816,68.0064,75.3350,71.3431,68.1441,70.0370,65.9633,68.3118,74.2528
30.8920,0.0000,47.9600,24.6200,239.9716,0.2000,53.7895,62.2823,65.6318,45.1856,64.4007,61.4816,62.1834,70.1254,67.2807,74.5825,77.4430,63.1158,64.2680,73.0008
31.2020,0.0000,47.9600,24.6200,239.9173,0.2000,49.5111,58.5022,58.9374,42.5889,47.7793,59.3098,61.3071,71.9353,68.9939,66.0832,69.4325,63.5316,67.2546,74.9537
31.5100,0.0000,48.1074,24.6200,239.7386,0.2000,48.4088,54.8336,58.1498,40.5104,57.9621,56.8524,58.3870,71.3599,68.3795,69.8255,67.3014,62.6239,66.2291,74.2528
31.8180,0.0000,48.2645,24.6200,239.5516,0.2000,43.3495,52.2091,58.5052,41.4185,60.8219,53.1112,56.1218,75.9758,70.6869,68.7283,74.1205,60.0479,63.7528,72.4454
32.1280,0.0000,48.4226,24.6200,239.3635,0.2000,42.0836,49.2563,53.4654,38.8066,54.0448,52.8006,54.3932,74.5800,70.1491,69.8255,67.3014,59.2350,63.3297,76.2732
32.4350,0.0000,48.4700,24.6200,239.4335,0.2000,39.0362,46.8426,54.5033,40.5104,55.4192,53.1112,54.0231,71.3599,66.7926,68.7283,52.6827,60.0479,62.4181,73.0008
32.7450,0.0000,48.4700,24.6200,239.6167,0.2000,37.8193,42.9193,50.6801,38.1853,52.7357,50.8369,55.0846,72.6381,70.1491,67.6646,67.3014,61.7414,65.2340,76.8882
33.0520,0.0000,48.4700,24.6200,239.7981,0.2000,35.3279,38.3405,51.2803,29.3168,50.5620,49.8802,52.4174,70.1254,71.3431,70.3356,72.8909,59.2350,61.0589,72.4454
33.3620,0.0000,48.4700,24.6200,239.8839,0.2000,33.1370,33.9269,46.5604,37.6180,50.8849,51.7707,53.7185,68.9323,68.3795,63.7159,66.2834,60.0479,64.2680,72.4454
33.6710,0.0000,48.4700,24.6200,239.8530,0.2000,30.3051,29.2592,38.2646,38.4023,51.7661,52.8006,52.0732,67.1654,66.7926,67.6646,72.3453,59.6018,59.8318,71.2524
33.9810,0.0000,48.4700,24.6200,239.8220,0.2000,27.1078,25.3811,41.0304,37.4095,50.8849,48.4314,51.4536,72.6381,67.8757,61.4312,67.8697,56.9212,61.0589,70.6179
34.2900,0.0000,48.4700,24.6200,239.8227,0.2000,24.1428,20.2407,38.2646,36.3021,50.2960,49.8802,50.8483,69.4696,66.2161,66.0832,63.9090,58.8007,61.0589,74.2528
34.6000,0.0000,48.4700,24.6200,239.9337,0.2000,21.0687,16.3378,34.5448,36.6641,49.7203,47.8646,51.4536,72.6381,63.7388,62.3092,72.3453,58.0204,60.2100,73.0008
34.9080,0.0000,48.4700,24.6200,240.0439,0.2000,17.8178,13.0124,32.0761,36.6641,52.7357,48.4314,49.1134,66.6625,69.5143,67.6646,70.0370,56.5195,57.7974,70.0976
35.2170,0.0000,48.4700,24.6200,240.1546,0.1999,15.3105,10.3170,28.0252,36.4987,48.0682,46.4788,51.4536,76.7590,64.1837,61.9071,63.9090,55.7972,60.2100,74.2528
35.5250,0.0000,48.4700,24.6200,240.0247,0.2000,12.7990,7.9560,24.4861,36.6641,50.8849,49.0116,48.5606,63.9786,64.1837,62.3092,70.5488,58.4435,57.3790,71.2524
35.8350,0.0000,48.4700,24.6200,239.8908,0.2000,10.8022,6.5210,21.6645,35.7879,48.8555,47.3106,49.6787,77.4240,62.2706,61.4312,63.4039,57.6725,57.7974,72.4454
36.1440,0.0000,48.4700,24.6200,239.7573,0.2000,8.9600,5.2587,19.0424,35.7879,50.5620,46.7691,48.5606,66.6625,66.2161,63.7159,69.4325,55.4749,57.0349,69.4831
36.4540,0.0000,48.4700,24.6200,239.6664,0.2000,7.5651,4.2996,16.3419,34.5923,46.7486,44.4533,49.4202,64.5356,59.2182,61.9071,62.4980,55.4749,57.7974,73.6785
36.7610,0.0000,48.4700,24.6200,239.5906,0.1998,6.2203,3.5842,14.2034,35.9471,49.9804,44.4533,47.7780,65.5821,59.2182,58.5052,70.5488,55.7972,56.6272,68.3837
37.0710,0.0000,48.4700,24.6200,239.5140,0.2000,5.3110,3.0442,12.0845,33.8093,46.5203,43.7591,46.4664,65.5821,62.2706,62.3092,64.8558,55.7972,55.5677,68.3837
37.3800,0.0000,48.4700,24.6200,239.5393,0.2000,4.4989,2.6140,10.3815,33.5001,47.5412,43.0443,47.4909,75.3350,57.9460,57.7289,62.0947,56.5195,56.6272,70.6179
37.6890,0.0000,48.4700,24.6200,239.6605,0.2000,3.8333,2.2820,9.0039,33.3338,48.8555,42.3922,45.0083,62.0148,57.1512,64.1416,67.3014,55.0929,54.8616,68.3837
37.9990,0.0000,48.4700,24.6200,239.7820,0.1996,3.2993,2.0258,7.7340,32.7375,47.2584,40.4733,46.4664,66.6625,55.9641,57.7289,62.0947,56.9212,55.1804,68.9791
38.3080,0.0000,48.4700,24.6200,239.8728,0.1993,2.8600,1.8164,6.7119,32.3167,46.7486,40.4733,44.7951,58.0412,55.9641,60.1967,67.8697,55.7972,53.1414,68.9791
38.6180,0.0000,48.4700,24.6200,239.8865,0.2000,2.5105,1.6496,5.8197,31.3339,45.5416,38.5498,44.5420,62.5385,53.7929,57.3826,62.0947,55.4749,55.1804,68.3837
38.9270,0.0000,48.4700,24.6200,239.9001,0.2000,2.2134,1.5124,5.0881,30.0429,45.0672,36.3160,43.4365,57.2171,55.6241,57.7289,67.3014,54.0991,54.4839,69.4831
39.2360,0.0000,48.4700,24.6200,239.9174,0.2000,1.9782,1.3989,4.4820,29.9306,44.6023,35.0542,42.5746,57.5888,52.4352,58.9374,60.3791,55.4749,53.8044,68.9791
39.5450,0.0000,48.4700,24.6200,240.0083,0.2000,1.7802,1.3045,3.9829,29.9306,45.5416,33.8751,40.9475,55.9880,53.1055,56.2354,68.3506,53.0811,52.8453,67.3181
39.8540,0.0000,48.4700,24.6200,240.0991,0.1997,1.6190,1.2238,3.5442,28.6241,44.1468,32.5056,40.1787,67.7787,51.4893,58.1498,59.4820,55.7972,53.8044,68.3837
40.1640,0.0000,48.4700,24.6200,240.1902,0.2000,1.4795,1.1558,3.1978,28.6241,43.9021,30.6315,38.3745,58.0412,53.1055,57.3826,66.8349,52.7888,53.1414,65.8253
40.4730,0.0000,48.4700,24.6200,240.1607,0.2000,1.3634,1.0961,2.8808,26.9235,42.4121,28.9754,38.1873,64.5356,51.4893,58.5052,59.9272,54.0991,53.5010,66.8445
40.7830,0.0000,48.4700,24.6200,240.1037,0.2000,1.2643,1.0452,2.6258,26.4404,41.3760,27.2786,36.7219,58.4235,50.5204,53.8273,60.7607,53.7355,53.8044,67.8952
41.0930,0.0000,48.4700,24.6200,240.0467,0.2000,1.1811,1.0006,2.4060,25.5887,39.3142,25.6880,35.0441,53.7445,50.2422,56.9725,65.8307,54.0991,52.8453,67.8952
41.4010,0.0000,48.4700,24.6200,239.9875,0.1994,1.1058,0.9605,2.2182,25.1505,38.2635,24.1186,34.4750,55.2200,49.6406,54.1325,58.6825,53.0811,52.8453,67.3181
41.7090,0.0000,48.4700,24.6200,239.9266,0.2000,1.0420,0.9256,2.0563,24.5427,37.5930,23.1257,32.6174,54.0730,49.9123,56.2354,65.2954,53.4361,52.2052,64.8363
